de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
2,0.043478260869565216,0.13333333333333333,0.09090909090909091,0.07692307692307693,0.0,0.022727272727272728,0.023809523809523808,0.05263157894736842,0.0,0.08,0.0,0.045454545454545456,0.034482758620689655,0.047619047619047616,0.0625,0.0,0.043478260869565216,0.037037037037037035,0.0,0.037037037037037035,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.03125,0.0,0.05,0.08695652173913043,0.037037037037037035,0.0,0.0,0.034482758620689655,0.0,0.0
3,0.05,0.2916666666666667,0.0,0.0,0.05555555555555555,0.16666666666666666,0.14285714285714285,0.13333333333333333,0.047619047619047616,0.09090909090909091,0.07692307692307693,0.0,0.0,0.05555555555555555,0.07692307692307693,0.17647058823529413,0.16666666666666666,0.0,0.05,0.19047619047619047,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.05263157894736842,0.0,0.0,0.0,0.0,0.1,0.0,0.08333333333333333,0.047619047619047616,0.038461538461538464,0.0,0.0
4,0.0,0.06896551724137931,0.3125,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
5,0.07692307692307693,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.030303030303030304,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.034482758620689655,0.0,0.05,0.043478260869565216,0.038461538461538464,0.047619047619047616,0.03571428571428571,0.038461538461538464,0.03333333333333333,0.027777777777777776,0.041666666666666664,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.0,0.05263157894736842
6,0.0,0.029411764705882353,0.041666666666666664,0.0,0.2777777777777778,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.06666666666666667,0.04,0.06666666666666667,0.05263157894736842,0.0,0.08823529411764706,0.029411764705882353,0.09090909090909091,0.0,0.05555555555555555,0.0,0.07142857142857142,0.047619047619047616,0.07692307692307693,0.125,0.0,0.06666666666666667,0.05263157894736842,0.0,0.05263157894736842,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.0625,0.05263157894736842,0.0,0.0,0.047619047619047616,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.030303030303030304,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.02857142857142857,0.03333333333333333,0.038461538461538464,0.034482758620689655,0.03125,0.037037037037037035,0.029411764705882353,0.03125,0.027777777777777776,0.023809523809523808,0.03333333333333333,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.02564102564102564,0.0,0.0
10,0.058823529411764705,0.1794871794871795,0.02857142857142857,0.02564102564102564,0.030303030303030304,0.5833333333333334,0.12244897959183673,0.14285714285714285,0.027777777777777776,0.14705882352941177,0.03571428571428571,0.029411764705882353,0.2,0.0625,0.07407407407407407,0.16666666666666666,0.125,0.02564102564102564,0.02857142857142857,0.14285714285714285,0.037037037037037035,0.03125,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.029411764705882353,0.0,0.022727272727272728,0.0,0.03125,0.08823529411764706,0.05263157894736842,0.05128205128205128,0.027777777777777776,0.05,0.0,0.0
11,0.05405405405405406,0.13953488372093023,0.05405405405405406,0.023809523809523808,0.05714285714285714,0.1111111111111111,0.48717948717948717,0.09375,0.05263157894736842,0.10526315789473684,0.03225806451612903,0.02702702702702703,0.022727272727272728,0.05714285714285714,0.06666666666666667,0.11764705882352941,0.11428571428571428,0.023809523809523808,0.08333333333333333,0.13157894736842105,0.03333333333333333,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02702702702702703,0.0,0.043478260869565216,0.0,0.02857142857142857,0.08108108108108109,0.023809523809523808,0.07317073170731707,0.02564102564102564,0.046511627906976744,0.0,0.0
12,0.07142857142857142,0.041666666666666664,0.07142857142857142,0.11764705882352941,0.0,0.02857142857142857,0.0625,0.1,0.14285714285714285,0.058823529411764705,0.0,0.2727272727272727,0.05,0.08333333333333333,0.14285714285714285,0.0,0.25,0.05555555555555555,0.15384615384615385,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.2,0.06666666666666667,0.11764705882352941,0.0,0.0,0.10526315789473684,0.07142857142857142,0.0
13,0.05555555555555555,0.11538461538461539,0.05555555555555555,0.045454545454545456,0.0,0.08108108108108109,0.08571428571428572,0.25,0.0,0.2222222222222222,0.0,0.058823529411764705,0.041666666666666664,0.0625,0.09090909090909091,0.0,0.1875,0.09523809523809523,0.0,0.15,0.1,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.058823529411764705,0.0,0.07692307692307693,0.0,0.06666666666666667,0.17647058823529413,0.09523809523809523,0.09090909090909091,0.0,0.08695652173913043,0.05555555555555555,0.0
14,0.0625,0.038461538461538464,0.0,0.0,0.07142857142857142,0.02702702702702703,0.02857142857142857,0.0,0.2,0.0,0.1111111111111111,0.0,0.0,0.07142857142857142,0.1111111111111111,0.06666666666666667,0.0625,0.0,0.0625,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.045454545454545456,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.07142857142857142,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.06666666666666667,0.0,0.07142857142857142,0.0
17,0.09090909090909091,0.0967741935483871,0.043478260869565216,0.12,0.0,0.125,0.10256410256410256,0.25,0.08695652173913043,0.5882352941176471,0.0,0.09523809523809523,0.1111111111111111,0.047619047619047616,0.0625,0.045454545454545456,0.2,0.037037037037037035,0.043478260869565216,0.12,0.06666666666666667,0.0,0.0,0.038461538461538464,0.043478260869565216,0.04,0.0,0.0625,0.1111111111111111,0.045454545454545456,0.058823529411764705,0.041666666666666664,0.045454545454545456,0.038461538461538464,0.06451612903225806,0.05,0.05,0.19047619047619047,0.07692307692307693,0.11538461538461539,0.041666666666666664,0.07142857142857142,0.043478260869565216,0.0
18,0.06666666666666667,0.04,0.06666666666666667,0.1111111111111111,0.0,0.05714285714285714,0.029411764705882353,0.2,0.0625,0.11764705882352941,0.0,0.25,0.1,0.07692307692307693,0.125,0.0,0.14285714285714285,0.05263157894736842,0.06666666666666667,0.05263157894736842,0.14285714285714285,0.0,0.06666666666666667,0.0,0.0,0.058823529411764705,0.0,0.0,0.2,0.07142857142857142,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.0625,0.1111111111111111,0.05,0.0,0.1,0.06666666666666667,0.0
19,0.07142857142857142,0.02564102564102564,0.034482758620689655,0.0625,0.0,0.1590909090909091,0.020833333333333332,0.08333333333333333,0.0,0.1,0.0,0.07407407407407407,0.5652173913043478,0.037037037037037035,0.045454545454545456,0.03571428571428571,0.034482758620689655,0.030303030303030304,0.0,0.030303030303030304,0.047619047619047616,0.0,0.07142857142857142,0.0,0.034482758620689655,0.06666666666666667,0.0,0.045454545454545456,0.08333333333333333,0.07407407407407407,0.043478260869565216,0.03333333333333333,0.03571428571428571,0.03125,0.05405405405405406,0.038461538461538464,0.038461538461538464,0.06896551724137931,0.0625,0.029411764705882353,0.03333333333333333,0.02857142857142857,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.07142857142857142,0.041666666666666664,0.07142857142857142,0.05555555555555555,0.0,0.02857142857142857,0.030303030303030304,0.1,0.0,0.058823529411764705,0.0,0.07692307692307693,0.05,0.08333333333333333,0.6,0.0,0.15384615384615385,0.11764705882352941,0.0,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.09090909090909091,0.06666666666666667,0.05555555555555555,0.0,0.0,0.05,0.0,0.0
22,0.0,0.08695652173913043,0.0,0.0,0.0,0.058823529411764705,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.07142857142857142,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.05,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.125,0.07142857142857142,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
24,0.058823529411764705,0.12,0.058823529411764705,0.047619047619047616,0.0,0.08333333333333333,0.08823529411764706,0.2727272727272727,0.0,0.16666666666666666,0.0,0.0625,0.043478260869565216,0.06666666666666667,0.2222222222222222,0.0,0.5,0.15789473684210525,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.038461538461538464,0.0,0.07142857142857142,0.1875,0.047619047619047616,0.09523809523809523,0.0,0.043478260869565216,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.09090909090909091,0.030303030303030304,0.043478260869565216,0.07692307692307693,0.0,0.022727272727272728,0.023809523809523808,0.05263157894736842,0.041666666666666664,0.08,0.0,0.09523809523809523,0.034482758620689655,0.047619047619047616,0.13333333333333333,0.0,0.2,0.47368421052631576,0.043478260869565216,0.07692307692307693,0.06666666666666667,0.0,0.043478260869565216,0.0,0.0,0.04,0.05,0.0,0.05263157894736842,0.0,0.058823529411764705,0.08695652173913043,0.045454545454545456,0.08,0.13793103448275862,0.05,0.10526315789473684,0.041666666666666664,0.16666666666666666,0.03571428571428571,0.041666666666666664,0.1111111111111111,0.09090909090909091,0.0
27,0.05,0.03333333333333333,0.0,0.041666666666666664,0.05555555555555555,0.05,0.08108108108108109,0.0,0.1,0.0,0.07692307692307693,0.05263157894736842,0.0,0.05555555555555555,0.07692307692307693,0.1111111111111111,0.10526315789473684,0.0,0.4,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.047619047619047616,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.1,0.08,0.10526315789473684,0.0
28,0.0,0.10714285714285714,0.05,0.041666666666666664,0.0,0.05,0.08108108108108109,0.13333333333333333,0.047619047619047616,0.09090909090909091,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.23529411764705882,0.041666666666666664,0.05,0.25,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.047619047619047616,0.0,0.043478260869565216,0.034482758620689655,0.058823529411764705,0.0,0.1,0.041666666666666664,0.13043478260869565,0.0,0.038461538461538464,0.05,0.0
